Match Id,Home Team,Away Team,Home Goal HT,Away Goal HT,Home Goal FT,Away Goal FT
497663,Newcastle,Nottingham,,,,
497670,Brighton Hove,Bournemouth,,,,
497671,Nottingham,Arsenal,,,,
497672,Crystal Palace,Aston Villa,,,,
497673,Brentford,Everton,,,,
497674,Wolverhampton,Fulham,,,,
497675,Tottenham,Man City,,,,
497676,West Ham,Leicester City,,,,
497677,Man United,Ipswich Town,,,,
497678,Chelsea,Southampton,,,,
497679,Liverpool,Newcastle,,,,
497680,Tottenham,Bournemouth,,,,
497681,Man United,Arsenal,,,,
497682,Brentford,Aston Villa,,,,
497683,Wolverhampton,Everton,,,,
497684,Brighton Hove,Fulham,,,,
497685,Crystal Palace,Ipswich Town,,,,
497686,West Ham,Newcastle,,,,
497687,Nottingham,Man City,,,,
497688,Liverpool,Southampton,,,,
497689,Chelsea,Leicester City,,,,
497690,Bournemouth,Brentford,,,,
497691,Arsenal,Chelsea,,,,
497692,Aston Villa,Liverpool,,,,
497693,Everton,West Ham,,,,
497694,Fulham,Tottenham,,,,
497695,Ipswich Town,Nottingham,,,,
497696,Leicester City,Man United,,,,
497697,Man City,Brighton Hove,,,,
497698,Newcastle,Crystal Palace,,,,
497699,Southampton,Wolverhampton,,,,
497700,Bournemouth,Ipswich Town,,,,
497701,Arsenal,Fulham,,,,
497702,Brighton Hove,Aston Villa,,,,
497703,Nottingham,Man United,,,,
497704,Wolverhampton,West Ham,,,,
497705,Chelsea,Tottenham,,,,
497706,Man City,Leicester City,,,,
497707,Newcastle,Brentford,,,,
497708,Southampton,Crystal Palace,,,,
497709,Liverpool,Everton,,,,
497710,Aston Villa,Nottingham,,,,
497711,Brentford,Chelsea,,,,
497712,Crystal Palace,Brighton Hove,,,,
497713,Everton,Arsenal,,,,
497714,Fulham,Liverpool,,,,
497715,Ipswich Town,Wolverhampton,,,,
497716,Leicester City,Newcastle,,,,
497717,Man United,Man City,,,,
497718,Tottenham,Southampton,,,,
497719,West Ham,Bournemouth,,,,
497720,Bournemouth,Fulham,,,,
497721,Arsenal,Brentford,,,,
497722,Brighton Hove,Leicester City,,,,
497723,Chelsea,Ipswich Town,,,,
497724,Liverpool,West Ham,,,,
497725,Man City,Crystal Palace,,,,
497726,Newcastle,Man United,,,,
497727,Nottingham,Everton,,,,
497728,Southampton,Aston Villa,,,,
497729,Wolverhampton,Tottenham,,,,
497730,Aston Villa,Newcastle,,,,
497731,Brentford,Brighton Hove,,,,
497732,Crystal Palace,Bournemouth,,,,
497733,Everton,Man City,,,,
497734,Fulham,Chelsea,,,,
497735,Ipswich Town,Arsenal,,,,
497736,Leicester City,Liverpool,,,,
497737,Man United,Wolverhampton,,,,
497738,Tottenham,Nottingham,,,,
497739,West Ham,Southampton,,,,
497740,Bournemouth,Man United,,,,
497741,Arsenal,Crystal Palace,,,,
497742,Brighton Hove,West Ham,,,,
497743,Chelsea,Everton,,,,
497744,Liverpool,Tottenham,,,,
497745,Man City,Aston Villa,,,,
497746,Newcastle,Ipswich Town,,,,
497747,Nottingham,Brentford,,,,
497748,Southampton,Fulham,,,,
497749,Wolverhampton,Leicester City,,,,
497750,Arsenal,Bournemouth,,,,
497751,Aston Villa,Fulham,,,,
497752,Brentford,Man United,,,,
497753,Brighton Hove,Newcastle,,,,
497754,Chelsea,Liverpool,,,,
497755,Crystal Palace,Nottingham,,,,
497756,Everton,Ipswich Town,,,,
497757,Leicester City,Southampton,,,,
497758,Man City,Wolverhampton,,,,
497759,West Ham,Tottenham,,,,
497760,Bournemouth,Aston Villa,,,,
497761,Fulham,Everton,,,,
497762,Ipswich Town,Brentford,,,,
497763,Liverpool,Arsenal,,,,
497764,Man United,West Ham,,,,
497765,Newcastle,Chelsea,,,,
497766,Nottingham,Leicester City,,,,
497767,Southampton,Man City,,,,
497768,Tottenham,Crystal Palace,,,,
497769,Wolverhampton,Brighton Hove,,,,
497770,Arsenal,Newcastle,,,,
497771,Aston Villa,Tottenham,,,,
497772,Brentford,Fulham,,,,
497773,Brighton Hove,Liverpool,,,,
497774,Chelsea,Man United,,,,
497775,Crystal Palace,Wolverhampton,,,,
497776,Everton,Southampton,,,,
497777,Leicester City,Ipswich Town,,,,
497778,Man City,Bournemouth,,,,
497779,West Ham,Nottingham,,,,
497780,Bournemouth,Leicester City,,,,
497781,Fulham,Man City,,,,
497782,Ipswich Town,West Ham,,,,
497783,Liverpool,Crystal Palace,,,,
497784,Man United,Aston Villa,,,,
497785,Newcastle,Everton,,,,
497786,Nottingham,Chelsea,,,,
497787,Southampton,Arsenal,,,,
497788,Tottenham,Brighton Hove,,,,
497789,Wolverhampton,Brentford,,,,
